ID,SalePrice
2658,131876.57469140287
2718,154088.22330762728
2414,241795.08309266716
1989,111772.27162543224
625,183051.98203672154
333,83629.74446610245
1327,101757.13375234004
858,163175.34675469913
95,170448.95060892988
1568,160963.52921445516
2482,150148.1820138372
1364,115926.56606632276
2584,146313.6080153012
818,238656.66610280192
2673,155761.9733673565
2089,113412.73084103817
1297,138406.17361070742
790,118940.0303627481
2616,196208.4915516066
720,192866.359365918
222,145958.2228802935
557,107985.14825076546
1148,181542.96840808855
2766,169754.94777625005
534,180733.38609015156
1452,130894.87816504223
630,109397.36343616401
2648,124053.70915181535
125,160469.29382841985
1904,37627.25590107494
1670,99466.24409751239
756,88318.79547671755
717,218371.55700073458
1032,161596.89455720925
852,220340.0887211603
1731,188435.16488743995
2639,119537.99914547084
2071,68311.27147441683
1267,128656.8747426597
1851,179856.23206004006
567,174327.46532284757
2439,210791.94834239339
1898,147093.93592669055
647,187227.0874619308
2256,217673.4099172654
979,92622.72054416308
1444,221955.18485945437
2485,118887.78996436555
157,119866.19100735769
88,117953.84772328692
2003,110173.9393097012
186,203839.84531850775
1425,229142.03933838772
2695,125605.06073984705
738,100717.51175723018
395,154194.5402337451
1353,162628.3355805478
1878,141056.11642000295
390,159638.08222194307
1456,222816.18232304798
1103,328305.99616080144
1387,124077.72636685286
2070,143136.1338776377
1199,178603.2544047611
2479,183349.42959934977
501,309120.5635240538
2362,97278.90745761647
1718,226071.7383438326
2188,79900.27724225291
1483,158359.3177170623
2557,69612.46165124942
437,357945.679563878
2224,212517.1432358668
1628,176602.6576584842
397,138983.47273314322
587,204542.08327868942
2182,592528.0010002659
971,146161.5475818851
2611,146313.78317866122
1887,93017.63415596627
2399,363014.6376873071
2148,195803.88210707685
304,136119.00152266404
1997,133874.0339481608
2817,95057.9225658678
1431,200811.99323167076
427,342464.87350817636
263,124134.27723459456
598,193343.06162716064
2895,233722.30404279171
687,134715.15872785813
1822,135320.97963266124
2191,99753.74990545039
179,111684.88044782408
1009,240356.64340618876
2010,118025.03551879612
1991,143366.48842270163
1411,226472.90804513113
1721,232858.38966387638
1144,190596.33868213947
593,216786.8008144586
575,311375.4060754813
1249,175922.66782717293
1604,121268.96996011084
1064,467443.37215724855
1923,155668.8783637276
1988,118575.06355194282
2325,168895.89701600958
114,200223.05418508805
2700,174490.18344328878
217,132561.7892510463
343,185447.51496693428
386,207041.16344312677
2005,106240.4329640951
2908,141130.67183072676
1814,248125.77132260276
2446,479405.9793324731
208,120975.81538509515
1679,99540.0968866646
822,304605.5311316479
6,187221.87631973912
1781,376785.2137793724
2397,317424.3061541263
2340,321005.93568786327
1618,172948.79675160244
2843,165139.44302097798
1061,348814.49209955113
2786,127618.72358344088
1935,135412.9225516601
1341,98278.43215224246
521,235394.25421746593
2136,136992.9366033749
996,200515.52368296386
227,137972.09707979253
135,191107.14459103975
1167,144109.0384091241
294,238314.49552689586
1776,210947.23701675975
540,164999.83827319322
1717,248919.86665575134
2303,125363.12727475152
116,189109.6683566426
127,131775.9939514663
1371,124013.0614342688
1014,174658.45897292945
1507,99460.03028640148
702,141627.5861329855
750,138954.3257593516
261,155818.38117791695
1559,66798.56659851405
577,230660.1358940847
2812,196297.04182173315
2080,167177.7435682625
1368,104824.067118959
2376,123237.4420095697
659,115825.90414059797
1235,149302.48965436305
332,66715.49280123839
1917,146288.45740776657
2094,227653.69032766897
1460,256491.60933975378
1471,216998.3129735504
1509,119183.90521952705
1922,130363.61003623574
433,444711.2822599535
460,268846.7846691718
1116,210019.55044221054
1137,164722.52011431183
53,160025.99864894003
2354,271115.8542751566
1475,196848.56435868112
1761,501581.99562542135
842,130441.28619497774
2739,176458.39196657715
2509,146063.03926468166
1007,202836.7076299043
2610,193154.42655704467
1952,90280.01565839458
2719,164424.5286400611
2921,77212.08793373172
1966,155574.34884137398
292,108438.8600271871
1204,189817.76410027052
1829,260413.50425616401
2419,206991.91812414207
391,150559.75462310563
798,120652.66010895153
481,198762.3852072253
193,213561.01592663288
555,110787.66612902214
899,49191.767705393664
2357,181638.1921270905
328,131158.73843870754
1356,93745.53944434912
1154,109480.90216522018
1730,200418.67294837523
2249,157334.98482244092
1119,283043.28926957713
2856,154324.16670883013
1394,135769.4549818379
2587,112614.06499817778
61,314429.5868789412
2661,185931.1828147642
2711,141949.05946929628
1147,185368.55649637087
757,119221.34789821698
2623,93538.58862032765
2378,135239.25651240366
1413,160418.22429213615
1722,224099.91472288984
1112,209858.59174208174
1623,182680.86509998798
1201,215631.93420024455
1513,113275.87861723831
957,483373.24609232123
1171,247404.11550086283
1145,198145.10112124082
2726,236087.1121533182
703,161932.29943658225
760,127179.4821563749
1964,160638.4831858639
2512,174723.80677997923
159,126800.27640630894
1281,174342.82994799837
468,191500.2399910145
290,120158.99010392441
665,100067.89084475697
1463,247957.17868900386
1792,214211.38886410088
923,173748.6575046129
500,284052.16832405824
1408,190741.02073611168
331,66604.51543649698
170,138087.92467803342
2192,95636.33409179281
2571,303561.5615706268
2314,169127.15077421442
2647,92477.13127089472
422,415471.1961391618
2457,335205.0567574324
1838,194875.95730149644
2805,268969.5068917542
1645,152766.60662952837
1711,304229.89177582687
2825,236448.41231287934
322,313419.901501421
2103,262131.78470039694
342,121220.70426292768
600,113535.91424489042
488,161818.67782129947
1725,321023.73986309365
2246,324136.37225435546
2847,150345.54903436458
806,236343.78526859352
530,218773.79614912163
963,192179.50328786048
2678,95780.01142822551
171,86183.75132385372
2401,440411.63276693545
805,216518.03255833837
2259,257934.50194783037
1748,179877.48965379334
1361,146985.3017116085
1677,113309.53392427161
1406,170301.1956174716
2322,273183.266880297
688,158475.02468163669
143,148454.52627667002
804,213241.20643932887
1214,160851.37700772734
2828,158401.51980147828
1999,194455.9273920626
2467,210929.74291237266
2665,162175.6605466815
1538,321553.5963351561
398,108342.76311154418
2822,166380.93446598394
2157,149287.11347220276
1856,187436.76639946573
1269,93087.81590648634
2570,126358.20607385924
2320,230339.58305964846
1517,131322.73918546998
2304,124239.0942723125
1312,83309.64546458308
2012,126043.6203441202
506,269802.9415649873
2865,223874.46270296356
2367,100325.40503682164
554,75591.52352902658
238,144399.71263520958
1954,112204.1180974047
2488,116064.64302906353
2291,63890.3103286532
1969,98207.55098123991
2725,163951.00589844288
1482,153243.21598727
2763,208120.76844155433
503,265818.2385633037
1584,246342.39050264098
1531,152706.63054754355
2210,189134.72503867533
459,338845.04519153835
556,130949.68044841735
1347,131138.96645231152
1290,66982.85275483897
1388,104929.194958015
1571,371118.8460744869
2754,222642.84053088885
765,148479.18374546675
2494,134689.16895540376
2870,250962.01699493363
7,230194.53393547738
1114,228509.41301074318
2418,289361.3773147898
291,151936.49846474556
18,361689.90504165925
39,392944.43431037245
1001,275764.85460690333
2442,233416.41594320096
616,121339.59888032018
2680,66040.29092511094
1414,117019.24621816166
289,158940.30572027346
40,276532.2749408364
860,132008.37926785043
409,134051.57555826128
673,158049.6341153657
2427,190961.5372510634
2036,221849.58180220175
2564,145134.80947084408
642,159665.83805145635
1008,186000.1346816911
1908,145974.2857658536
2519,197287.34114703428
1369,78178.58078981192
2855,176079.8344962109
712,104091.80924134192
1943,117148.54068042015
1958,127059.05350772584
107,164134.22065197577
2295,224813.42653891348
704,109734.05754629253
676,151972.40200735937
259,179329.67501272378
93,293658.9872738648
106,222124.7553636515
2315,165262.16903991948
1050,108173.83848394192
1095,211192.74930104485
2709,160472.9863218018
758,127320.98746812675
1496,165118.67174296535
2370,121401.50882193865
2458,287983.7604906794
2733,133703.2955590694
161,276268.6841659149
726,136371.4828053624
845,209599.87409638663
947,236776.0270348806
2232,104450.90929926513
2563,141280.64971874212
2299,164869.05486782128
211,67915.49922287253
605,145274.976261069
1478,197960.52830538948
2247,296885.2813457212
2274,238622.78414831037
2869,226481.10829389107
967,209853.2259399569
2656,115327.18611279986
667,187154.60143499414
1042,108968.21530555768
2023,153859.02159019295
2447,375040.6510595464
2055,123672.48616792086
2275,291839.2645433261
2204,177978.8356355293
1563,285674.1192136303
483,224563.954073743
796,138911.85239287518
1526,156350.5975725243
2042,117857.98480724514
442,335381.8961017855
1693,338857.3154389268
1468,222280.22517613973
1430,186924.12744933524
2605,154261.05363581065
1529,206610.89563669503
335,164385.09394785037
1287,117866.56691076743
31,97853.74507791329
1785,313821.0082633187
82,164366.20728004977
2620,141797.20976667706
252,164222.0365780571
721,52951.9471788494
2165,207347.0129486695
2316,193266.14615332667
775,129579.31851168245
1558,61474.14720511189
17,218863.79369054554
1022,240692.66616901523
